"sport","event","date","athlete_id","country_id","bronze","gold","silver"
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5542,73,1,0,0
"Track and Field","Women's Discus Throw","2016-01-01",5560,195,0,0,0
"Track and Field","Men's 100 metres","2016-01-01",5561,93,0,0,0
"Track and Field","Men's 200 metres","2016-01-01",5561,93,0,0,0
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",5561,93,0,1,0
"Swimming","Swimming Women's 400 metres Freestyle","2016-01-01",5577,11,0,0,0
"Swimming","Swimming Women's 800 metres Freestyle","2016-01-01",5577,11,0,0,0
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",5577,11,0,0,1
"Track and Field","Women's Triple Jump","2016-01-01",5677,67,0,0,0
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",5687,63,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",5688,63,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",5723,134,0,0,0
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5723,134,0,0,0
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",5781,190,0,0,0
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5783,179,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5801,43,0,0,0
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",5808,67,0,0,0
"Swimming","Swimming Women's 100 metres Breaststroke","2016-01-01",5817,93,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5835,189,0,0,0
"Track and Field","Women's Marathon","2016-01-01",5848,160,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5853,106,0,0,0
"Swimming","Swimming Women's 4 x 100 metres Medley Relay","2016-01-01",5886,83,0,0,0
"Swimming","Swimming Men's 200 metres Freestyle","2016-01-01",5901,12,0,0,0
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",5901,12,0,0,0
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",5901,12,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5947,155,0,0,0
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Rings","2016-01-01",5948,67,0,0,0
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",5948,67,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5965,64,0,0,0
"Track and Field","Women's Marathon","2016-01-01",5967,147,0,0,0
"Track and Field","Men's 50 kilometres Walk","2016-01-01",5975,146,0,0,0
"Track and Field","Men's Decathlon","2016-01-01",6050,67,0,0,0
"Swimming","Swimming Women's 200 metres Backstroke","2016-01-01",6140,189,0,0,0
"Track and Field","Men's Marathon","2016-01-01",6196,143,0,0,0
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",6202,63,0,0,0
"Track and Field","Women's 5,000 metres","2016-01-01",6204,63,1,0,0
"Track and Field","Women's 10,000 metres","2016-01-01",6204,63,0,1,0
"Swimming","Swimming Men's 10 kilometres Open Water","2016-01-01",6218,29,0,0,0
"Track and Field","Women's Marathon","2016-01-01",6219,189,0,0,0
"Track and Field","Women's 20 kilometres Walk","2016-01-01",6226,96,0,0,0
"Track and Field","Men's 400 metres Hurdles","2016-01-01",6309,163,0,0,0
"Track and Field","Women's 400 metres","2016-01-01",6311,147,0,0,0
"Track and Field","Women's 800 metres","2016-01-01",6377,118,0,0,0
"Swimming","Swimming Women's 100 metres Butterfly","2016-01-01",6385,201,0,0,0
"Track and Field","Men's High Jump","2016-01-01",6406,52,0,0,0
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",6427,86,0,0,0
"Track and Field","Men's Triple Jump","2016-01-01",6433,13,0,0,0
"Track and Field","Men's High Jump","2016-01-01",6660,11,0,0,0
"Track and Field","Men's Javelin Throw","2016-01-01",6663,149,0,0,0
"Swimming","Swimming Women's 200 metres Breaststroke","2016-01-01",6739,171,0,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",6778,26,0,0,0
"Track and Field","Women's 1,500 metres","2016-01-01",6843,178,0,0,0
"Track and Field","Men's 100 metres","2016-01-01",6888,7,0,0,0
"Track and Field","Men's Discus Throw","2016-01-01",6911,195,0,0,0
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",6912,93,0,1,0
"Track and Field","Men's 110 metres Hurdles","2016-01-01",6969,84,0,0,0
"Track and Field","Men's High Jump","2016-01-01",7014,73,0,0,0
"Swimming","Swimming Women's 100 metres Backstroke","2016-01-01",7020,195,0,0,1
"Swimming","Swimming Women's 4 x 100 metres Medley Relay","2016-01-01",7020,195,0,1,0
"Track and Field","Women's 800 metres","2016-01-01",7048,175,0,0,0
"Swimming","Swimming Men's 100 metres Breaststroke","2016-01-01",7133,96,0,0,0
"Swimming","Swimming Men's 200 metres Breaststroke","2016-01-01",7133,96,0,1,0
"Track and Field","Women's 800 metres","2016-01-01",7187,108,0,0,0
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",7226,26,0,0,0
"Track and Field","Men's 5,000 metres","2016-01-01",7246,15,0,0,0
"Swimming","Swimming Women's 200 metres Freestyle","2016-01-01",7347,67,0,0,0
"Swimming","Swimming Women's 400 metres Freestyle","2016-01-01",7347,67,0,0,0
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",7347,67,0,0,0
"Track and Field","Men's Pole Vault","2016-01-01",7348,52,0,0,0
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",7354,84,0,0,0
"Swimming","Swimming Men's 4 x 100 metres Medley Relay","2016-01-01",7354,84,0,0,0
"Track and Field","Men's 200 metres","2016-01-01",7379,42,0,0,0
"Track and Field","Women's Long Jump","2016-01-01",7387,62,0,0,0
"Track and Field","Women's 400 metres","2016-01-01",7435,134,0,0,0
"Track and Field","Men's 3,000 metres Steeplechase","2016-01-01",7439,92,0,0,0
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",7475,138,0,0,0
"Track and Field","Men's High Jump","2016-01-01",7532,74,0,0,0
"Track and Field","Men's 50 kilometres Walk","2016-01-01",7593,193,0,0,0
"Track and Field","Women's 100 metres","2016-01-01",7604,187,0,0,0
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",7604,187,0,0,0
"Swimming","Swimming Men's 200 metres Freestyle","2016-01-01",7608,95,0,0,0
"Swimming","Swimming Women's 50 metres Freestyle","2016-01-01",7609,95,0,0,0
"Swimming","Swimming Women's 200 metres Individual Medley","2016-01-01",7678,146,0,0,0
"Swimming","Swimming Men's 100 metres Breaststroke","2016-01-01",7707,180,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",7715,103,0,0,0
"Track and Field","Women's 20 kilometres Walk","2016-01-01",7728,131,0,0,0
"Track and Field","Men's Pole Vault","2016-01-01",7740,34,0,0,0
"Gymnastics","Gymnastics Women's Individual All-Around","2016-01-01",7769,26,0,0,0
"Gymnastics","Gymnastics Women's Team All-Around","2016-01-01",7769,26,0,0,0
"Gymnastics","Gymnastics Women's Floor Exercise","2016-01-01",7769,26,0,0,0
"Gymnastics","Gymnastics Women's Uneven Bars","2016-01-01",7769,26,0,0,0
"Gymnastics","Gymnastics Women's Balance Beam","2016-01-01",7769,26,0,0,0
"Track and Field","Women's 400 metres Hurdles","2016-01-01",7775,147,0,0,0
"Swimming","Swimming Women's 200 metres Butterfly","2016-01-01",7810,8,0,0,0
"Swimming","Swimming Women's 200 metres Individual Medley","2016-01-01",7810,8,0,0,0
"Swimming","Swimming Women's 400 metres Individual Medley","2016-01-01",7810,8,0,0,0
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",7952,189,0,0,0
"Track and Field","Women's Discus Throw","2016-01-01",7989,93,0,0,0
"Track and Field","Men's 400 metres Hurdles","2016-01-01",8036,90,0,0,0
"Swimming","Swimming Women's 200 metres Freestyle","2016-01-01",8051,11,0,0,0
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",8051,11,0,0,1
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Rings","2016-01-01",8114,26,0,0,0
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",8114,26,0,0,0
"Track and Field","Women's 1,500 metres","2016-01-01",8128,195,1,0,0
"Track and Field","Men's 20 kilometres Walk","2016-01-01",8152,77,0,0,0
"Track and Field","Men's High Jump","2016-01-01",8198,14,0,0,0
"Track and Field","Men's High Jump","2016-01-01",8204,149,0,0,1
"Track and Field","Men's 110 metres Hurdles","2016-01-01",8417,67,1,0,0
"Track and Field","Women's 200 metres","2016-01-01",8475,69,0,0,0
"Track and Field","Men's Marathon","2016-01-01",8526,123,0,0,0
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",8606,123,0,0,0
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",8661,167,0,0,0
"Swimming","Swimming Men's 200 metres Breaststroke","2016-01-01",8750,34,0,0,0
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",8751,179,0,0,0
