"id","gender","age","height","weight"
14143,"M",28,188,88
14159,"M",35,188,86
14227,"M",33,196,74
14266,"F",25,175,58
14316,"M",29,183,76
14325,"F",32,171,59
14359,"F",16,162,52
14373,"F",28,183,67
14434,"M",20,187,80
14435,"M",25,185,77
14479,"M",22,184,82
14489,"M",22,175,78
14547,"M",23,169,64
14599,"M",26,168,64
14645,"M",29,187,82
14655,"M",27,181,NULL
14666,"F",32,178,70
14687,"M",33,174,58
14768,"M",23,186,83
14786,"M",28,199,88
14810,"M",22,183,75
14865,"F",25,174,65
14908,"M",23,184,70
14940,"M",30,175,70
14983,"M",26,167,60
15000,"F",21,162,52
15104,"F",23,168,57
15107,"M",21,181,81
15179,"M",24,183,72
15192,"F",31,159,46
15210,"F",20,177,64
15220,"F",29,162,51
15299,"F",26,171,62
15325,"M",21,175,70
15326,"M",23,194,87
15374,"M",29,173,75
15382,"F",31,168,61
15460,"M",24,198,79
15464,"F",26,165,57
15488,"M",37,178,75
15507,"M",24,188,80
15550,"M",24,182,85
15570,"M",22,182,87
15671,"M",25,183,69
15710,"F",23,183,69
15717,"M",23,179,72
15729,"F",20,167,58
15771,"F",25,166,52
15788,"F",25,170,59
15823,"M",23,185,66
15885,"M",18,192,82
15932,"F",26,173,63
15944,"M",20,185,79
15950,"M",31,174,67
15962,"F",20,171,56
15971,"M",29,178,65
15973,"M",26,197,78
16031,"F",25,167,57
16054,"F",32,162,54
16105,"F",27,168,50
16137,"F",14,166,63
16167,"M",31,180,75
16237,"M",29,189,78
16249,"F",27,155,49
16258,"F",23,170,56
16279,"F",28,172,56
16306,"M",19,191,138
16331,"F",19,178,68
16399,"M",30,189,81
16428,"F",21,175,63
16498,"F",30,167,58
16592,"F",30,160,43
16615,"M",32,180,73
16651,"M",24,180,83
16670,"M",23,185,72
16860,"M",21,188,90
16876,"M",25,182,64
16887,"M",24,175,64
16918,"M",20,188,84
16926,"F",21,172,60
16940,"M",25,180,75
16995,"F",27,187,75
17004,"F",29,170,48
17036,"M",25,180,85
17049,"M",32,175,59
17125,"F",26,175,70
17144,"F",32,163,48
17159,"M",26,178,68
17161,"M",23,190,84
17183,"F",23,175,66
17215,"F",26,171,63
17236,"M",20,181,78
17243,"F",22,164,60
17250,"M",27,175,54
17254,"M",18,185,85
17300,"M",25,175,55
17306,"F",18,170,60
17415,"F",25,173,61
17420,"F",23,170,59
17470,"F",41,162,54
17478,"M",32,189,86
17528,"M",22,160,54
17560,"M",27,196,84
17561,"M",22,163,69
17602,"M",23,179,74
17611,"F",25,158,48
17679,"F",35,171,90
17684,"F",22,179,58
17687,"F",24,186,67
17714,"F",22,170,64
17726,"M",25,168,57
17748,"F",22,167,54
17755,"F",34,168,58
17769,"M",28,183,63
17800,"M",20,166,61
17836,"F",19,166,49
17943,"M",28,168,60
18000,"M",24,180,77
18006,"F",20,178,72
18058,"M",28,166,60
18127,"F",34,177,62
18163,"M",43,174,75
18167,"F",23,178,116
18197,"F",24,157,47
18271,"F",20,170,61
18278,"F",25,175,57
18411,"M",26,187,82
18511,"F",23,175,60
18538,"M",24,166,70
18542,"M",20,174,74
18562,"F",22,168,52
18575,"M",24,170,60
18610,"M",27,181,66
18635,"M",25,183,82
18637,"M",20,190,82
18653,"F",30,176,136
18667,"F",22,172,57
18689,"M",28,184,75
18690,"M",27,183,70
18699,"M",21,185,72
18706,"M",28,183,68
18741,"M",37,187,117
18745,"F",20,165,54
18795,"F",21,163,52
18890,"M",28,169,58
18930,"F",18,167,55
18936,"M",37,165,61
18976,"F",28,170,60
18983,"F",23,160,54
19011,"M",25,198,73
19021,"F",23,178,66
19025,"F",27,160,54
19061,"M",28,183,76
19123,"F",25,164,60
19161,"M",21,173,78
19162,"M",25,181,87
19215,"F",24,166,61
19255,"M",20,183,70
19273,"F",22,169,62
19306,"F",39,168,52
19335,"M",26,176,65
19349,"M",17,172,74
19368,"M",29,182,77
19406,"F",24,177,56
19525,"F",33,155,48
19528,"M",27,187,90
19603,"M",18,193,90
19655,"F",22,172,56
19692,"M",21,175,66
19717,"F",20,160,50
19795,"M",28,170,60
19797,"F",30,166,57
19896,"M",17,183,65
19964,"F",22,173,61
20039,"M",26,190,76
20057,"F",29,164,52
20073,"M",25,188,70
20082,"F",25,152,48
20086,"M",31,178,72
20121,"F",30,165,60
20126,"F",26,NULL,NULL
20133,"M",25,175,57
20135,"F",27,NULL,NULL
20147,"F",27,165,52
20149,"F",17,NULL,NULL
20162,"M",24,182,73
20182,"M",23,175,62
20214,"F",21,177,65
20299,"F",18,177,60
